response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0255,0.0060,0.0044,0.0001,0.0192,0.0002,200,0.0051
0.0421,0.0083,0.0020,0.0017,0.0320,0.0001,200,0.0051
0.0414,0.0053,0.0043,0.0003,0.0358,0.0001,200,0.0058
0.0416,0.0051,0.0036,0.0039,0.0323,0.0004,200,0.0061
0.0430,0.0077,0.0049,0.0002,0.0350,0.0000,200,0.0052
0.0430,0.0059,0.0053,0.0004,0.0366,0.0001,200,0.0054
0.0424,0.0050,0.0043,0.0004,0.0370,0.0000,200,0.0062
0.0428,0.0056,0.0041,0.0012,0.0360,0.0000,200,0.0059
0.0438,0.0058,0.0053,0.0003,0.0376,0.0001,200,0.0054
0.0441,0.0060,0.0051,0.0010,0.0371,0.0000,200,0.0053
0.0424,0.0040,0.0022,0.0011,0.0372,0.0001,200,0.0074
0.0451,0.0061,0.0050,0.0012,0.0377,0.0001,200,0.0053
0.0460,0.0056,0.0053,0.0027,0.0376,0.0000,200,0.0055
0.0453,0.0049,0.0042,0.0028,0.0375,0.0001,200,0.0063
0.0524,0.0053,0.0039,0.0012,0.0457,0.0001,200,0.0062
0.0541,0.0063,0.0023,0.0009,0.0465,0.0000,200,0.0047
0.0529,0.0071,0.0039,0.0010,0.0448,0.0000,200,0.0059
0.0537,0.0077,0.0050,0.0002,0.0458,0.0000,200,0.0052
0.0533,0.0100,0.0035,0.0001,0.0432,0.0000,200,0.0057
0.0517,0.0040,0.0022,0.0013,0.0464,0.0000,200,0.0074
0.0529,0.0056,0.0021,0.0003,0.0469,0.0001,200,0.0073
0.0571,0.0114,0.0066,0.0004,0.0452,0.0001,200,0.0071
0.0573,0.0115,0.0065,0.0004,0.0454,0.0000,200,0.0071
0.0579,0.0125,0.0060,0.0004,0.0450,0.0000,200,0.0066
0.0585,0.0114,0.0067,0.0003,0.0468,0.0000,200,0.0071
0.0602,0.0120,0.0033,0.0006,0.0476,0.0000,200,0.0056
0.0617,0.0131,0.0068,0.0003,0.0483,0.0000,200,0.0054
0.0622,0.0097,0.0039,0.0004,0.0521,0.0000,200,0.0058
0.0622,0.0099,0.0023,0.0008,0.0513,0.0000,200,0.0073
0.0665,0.0121,0.0019,0.0006,0.0538,0.0001,200,0.0054
0.0700,0.0121,0.0082,0.0010,0.0564,0.0001,200,0.0047
