response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0136,0.0030,0.0001,0.0000,0.0080,0.0001,200,0.0055
0.0200,0.0050,0.0047,0.0001,0.0146,0.0001,200,0.0057
0.0295,0.0063,0.0048,0.0000,0.0214,0.0007,200,0.0043
0.0298,0.0134,0.0059,0.0001,0.0144,0.0001,200,0.0055
0.0345,0.0065,0.0049,0.0000,0.0273,0.0001,200,0.0045
0.0332,0.0056,0.0051,0.0000,0.0276,0.0000,200,0.0058
0.0354,0.0064,0.0052,0.0001,0.0283,0.0004,200,0.0045
0.0349,0.0066,0.0042,0.0000,0.0262,0.0000,200,0.0055
0.0378,0.0056,0.0048,0.0001,0.0318,0.0001,200,0.0057
0.0381,0.0070,0.0044,0.0001,0.0291,0.0000,200,0.0055
0.0397,0.0060,0.0047,0.0001,0.0323,0.0003,200,0.0043
0.0402,0.0141,0.0073,0.0002,0.0256,0.0001,200,0.0056
0.0439,0.0124,0.0060,0.0002,0.0294,0.0001,200,0.0055
0.0163,0.0000,0.0000,0.0000,0.0162,0.0001,200,0.0338
0.0449,0.0226,0.0203,0.0000,0.0209,0.0003,200,0.0055
0.0116,0.0000,0.0000,0.0000,0.0115,0.0001,200,0.0404
0.0156,0.0000,0.0000,0.0000,0.0154,0.0001,200,0.0390
0.0164,0.0000,0.0000,0.0002,0.0161,0.0001,200,0.0399
0.0133,0.0000,0.0000,0.0001,0.0131,0.0001,200,0.0440
0.0185,0.0000,0.0000,0.0000,0.0184,0.0000,200,0.0391
0.0145,0.0000,0.0000,0.0000,0.0141,0.0004,200,0.0437
0.0160,0.0000,0.0000,0.0000,0.0159,0.0001,200,0.0434
0.0556,0.0121,0.0055,0.0002,0.0407,0.0003,200,0.0055
0.0157,0.0000,0.0000,0.0000,0.0156,0.0000,200,0.0458
0.0151,0.0000,0.0000,0.0000,0.0149,0.0002,200,0.0494
0.0146,0.0000,0.0000,0.0000,0.0146,0.0000,200,0.0501
0.0140,0.0000,0.0000,0.0000,0.0138,0.0001,200,0.0520
0.0166,0.0000,0.0000,0.0000,0.0166,0.0000,200,0.0503
0.0620,0.0068,0.0038,0.0000,0.0537,0.0000,200,0.0055
0.0109,0.0000,0.0000,0.0000,0.0108,0.0001,200,0.0576
0.0119,0.0000,0.0000,0.0000,0.0117,0.0001,200,0.0572
0.0168,0.0000,0.0000,0.0000,0.0162,0.0003,200,0.0563
0.0186,0.0000,0.0000,0.0000,0.0181,0.0004,200,0.0546
0.0153,0.0000,0.0000,0.0000,0.0152,0.0001,200,0.0582
0.0151,0.0000,0.0000,0.0000,0.0150,0.0001,200,0.0594
0.0152,0.0000,0.0000,0.0000,0.0151,0.0001,200,0.0615
0.0175,0.0000,0.0000,0.0000,0.0174,0.0001,200,0.0611
0.0732,0.0117,0.0062,0.0001,0.0596,0.0000,200,0.0055
0.0165,0.0000,0.0000,0.0000,0.0164,0.0001,200,0.0646
0.0176,0.0000,0.0000,0.0000,0.0176,0.0001,200,0.0648
0.0214,0.0000,0.0000,0.0000,0.0212,0.0001,200,0.0660
0.0204,0.0000,0.0000,0.0000,0.0203,0.0001,200,0.0670
0.0200,0.0000,0.0000,0.0000,0.0198,0.0001,200,0.0675
0.0184,0.0000,0.0000,0.0000,0.0181,0.0002,200,0.0691
0.0196,0.0000,0.0000,0.0000,0.0194,0.0001,200,0.0685
0.0837,0.0073,0.0048,0.0000,0.0742,0.0000,200,0.0055
0.0162,0.0000,0.0000,0.0001,0.0159,0.0000,200,0.0731
0.0174,0.0000,0.0000,0.0000,0.0166,0.0000,200,0.0732
0.0188,0.0000,0.0000,0.0000,0.0187,0.0001,200,0.0735
0.0187,0.0000,0.0000,0.0001,0.0185,0.0001,200,0.0745
0.0179,0.0000,0.0000,0.0000,0.0178,0.0001,200,0.0767
0.0179,0.0000,0.0000,0.0000,0.0178,0.0001,200,0.0786
0.0196,0.0000,0.0000,0.0001,0.0172,0.0001,200,0.0811
0.0225,0.0000,0.0000,0.0000,0.0224,0.0000,200,0.0787
0.0963,0.0064,0.0036,0.0001,0.0885,0.0000,200,0.0055
0.0159,0.0000,0.0000,0.0000,0.0157,0.0001,200,0.0874
0.0193,0.0000,0.0000,0.0000,0.0192,0.0001,200,0.0881
0.0251,0.0000,0.0000,0.0000,0.0250,0.0001,200,0.0824
0.0185,0.0000,0.0000,0.0000,0.0184,0.0000,200,0.0892
0.0241,0.0000,0.0000,0.0000,0.0239,0.0001,200,0.0874
0.0267,0.0000,0.0000,0.0000,0.0266,0.0001,200,0.0875
0.0270,0.0000,0.0000,0.0000,0.0269,0.0000,200,0.0873
0.0240,0.0000,0.0000,0.0000,0.0239,0.0000,200,0.0905
0.0259,0.0000,0.0000,0.0000,0.0258,0.0000,200,0.0893
0.0235,0.0000,0.0000,0.0000,0.0233,0.0000,200,0.0932
0.0259,0.0000,0.0000,0.0000,0.0258,0.0000,200,0.0924
0.0244,0.0000,0.0000,0.0000,0.0242,0.0000,200,0.0946
0.1140,0.0065,0.0042,0.0000,0.1060,0.0000,200,0.0055
0.0257,0.0000,0.0000,0.0000,0.0256,0.0000,200,0.0965
0.0358,0.0000,0.0000,0.0000,0.0356,0.0001,200,0.1007
0.0364,0.0000,0.0000,0.0000,0.0362,0.0002,200,0.1018
0.0385,0.0000,0.0000,0.0000,0.0384,0.0001,200,0.1012
0.0372,0.0000,0.0000,0.0000,0.0370,0.0001,200,0.1033
0.1349,0.0069,0.0045,0.0001,0.1263,0.0002,200,0.0055
0.0333,0.0000,0.0000,0.0000,0.0332,0.0001,200,0.1115
0.0375,0.0000,0.0000,0.0000,0.0373,0.0001,200,0.1075
0.0405,0.0000,0.0000,0.0000,0.0403,0.0001,200,0.1077
0.0300,0.0000,0.0000,0.0000,0.0300,0.0000,200,0.1195
0.0423,0.0000,0.0000,0.0000,0.0419,0.0003,200,0.1074
0.0389,0.0000,0.0000,0.0000,0.0387,0.0001,200,0.1145
0.0383,0.0000,0.0000,0.0000,0.0381,0.0001,200,0.1152
0.0395,0.0000,0.0000,0.0000,0.0394,0.0000,200,0.1142
0.0405,0.0000,0.0000,0.0000,0.0403,0.0001,200,0.1144
0.0398,0.0000,0.0000,0.0000,0.0397,0.0001,200,0.1167
0.0397,0.0000,0.0000,0.0000,0.0395,0.0001,200,0.1183
0.0393,0.0000,0.0000,0.0000,0.0391,0.0001,200,0.1222
0.0425,0.0000,0.0000,0.0000,0.0424,0.0001,200,0.1190
0.1614,0.0065,0.0037,0.0001,0.1534,0.0001,200,0.0055
0.0281,0.0000,0.0000,0.0001,0.0279,0.0001,200,0.1405
0.0333,0.0000,0.0000,0.0000,0.0332,0.0001,200,0.1365
0.0324,0.0000,0.0000,0.0000,0.0322,0.0001,200,0.1382
0.0275,0.0000,0.0000,0.0000,0.0273,0.0001,200,0.1450
0.0350,0.0000,0.0000,0.0000,0.0348,0.0001,200,0.1397
0.0350,0.0000,0.0000,0.0000,0.0349,0.0001,200,0.1404
0.0322,0.0000,0.0000,0.0000,0.0320,0.0001,200,0.1449
0.0322,0.0000,0.0000,0.0000,0.0320,0.0001,200,0.1481
0.0309,0.0000,0.0000,0.0000,0.0307,0.0001,200,0.1496
0.0315,0.0000,0.0000,0.0000,0.0313,0.0001,200,0.1497
0.0296,0.0000,0.0000,0.0000,0.0295,0.0001,200,0.1534
0.0295,0.0000,0.0000,0.0000,0.0294,0.0001,200,0.1537
0.0288,0.0000,0.0000,0.0000,0.0287,0.0001,200,0.1564
0.0340,0.0000,0.0000,0.0000,0.0339,0.0001,200,0.1534
0.0303,0.0000,0.0000,0.0000,0.0301,0.0001,200,0.1579
0.0340,0.0000,0.0000,0.0000,0.0339,0.0000,200,0.1549
0.0291,0.0000,0.0000,0.0000,0.0290,0.0001,200,0.1615
0.1863,0.0057,0.0051,0.0001,0.1796,0.0001,200,0.0044
0.0314,0.0000,0.0000,0.0000,0.0312,0.0001,200,0.1614
0.0285,0.0000,0.0000,0.0000,0.0283,0.0001,200,0.1669
0.0277,0.0000,0.0000,0.0000,0.0276,0.0001,200,0.1686
0.1931,0.0067,0.0050,0.0003,0.1860,0.0001,200,0.0054
0.0279,0.0000,0.0000,0.0000,0.0278,0.0001,200,0.1706
0.0232,0.0000,0.0000,0.0000,0.0230,0.0001,200,0.1771
0.0279,0.0000,0.0000,0.0000,0.0277,0.0001,200,0.1755
0.0212,0.0000,0.0000,0.0001,0.0211,0.0001,200,0.1831
0.0329,0.0000,0.0000,0.0000,0.0328,0.0001,200,0.1725
0.0310,0.0000,0.0000,0.0001,0.0309,0.0000,200,0.1748
0.0360,0.0000,0.0000,0.0000,0.0359,0.0000,200,0.1698
0.0228,0.0000,0.0000,0.0000,0.0227,0.0001,200,0.1831
0.0279,0.0000,0.0000,0.0000,0.0277,0.0001,200,0.1803
0.0295,0.0000,0.0000,0.0000,0.0295,0.0001,200,0.1805
0.0290,0.0000,0.0000,0.0001,0.0289,0.0000,200,0.1812
0.0253,0.0000,0.0000,0.0000,0.0252,0.0000,200,0.1852
0.0254,0.0000,0.0000,0.0000,0.0253,0.0001,200,0.1874
0.0228,0.0000,0.0000,0.0000,0.0227,0.0000,200,0.1907
0.0262,0.0000,0.0000,0.0000,0.0261,0.0001,200,0.1889
0.0252,0.0000,0.0000,0.0000,0.0251,0.0001,200,0.1928
0.0300,0.0000,0.0000,0.0001,0.0299,0.0000,200,0.1882
0.0234,0.0000,0.0000,0.0000,0.0232,0.0000,200,0.1954
0.0216,0.0000,0.0000,0.0000,0.0215,0.0000,200,0.1985
0.0313,0.0000,0.0000,0.0000,0.0312,0.0001,200,0.1906
